area_sqft,bedrooms,bathrooms,location,parking,house_age,price
2303,2,2,Suburb,0,4,91.54
2497,4,4,Rural,1,40,48.0
1270,3,3,Rural,1,21,41.17
805,4,4,City Center,1,3,89.33
2851,2,2,City Center,0,1,153.38
1574,5,5,Downtown,1,15,110.88
1624,2,1,City Center,0,15,66.82
2730,2,2,City Center,1,21,124.52
2189,4,4,Downtown,1,0,134.5
2119,2,2,Rural,1,14,56.98
3316,3,3,Rural,1,23,67.8
1350,3,3,City Center,1,3,94.32
2449,3,3,Downtown,0,17,107.87
1840,2,2,Rural,1,16,51.42
1988,1,1,Industrial Area,0,6,65.75
2870,2,1,Suburb,0,9,94.86
2155,3,3,Suburb,0,0,99.73
2177,2,2,Suburb,0,1,87.77
2551,2,1,City Center,1,21,114.13
1545,2,2,Suburb,1,31,39.24
1213,1,1,Suburb,0,28,32.82
1069,3,3,Industrial Area,0,34,32.45
424,4,4,Rural,1,16,28.41
3239,2,2,Industrial Area,1,11,98.88
1028,3,3,City Center,1,23,68.45
1645,3,3,Suburb,1,29,51.76
1606,3,3,Rural,1,29,45.8
2015,3,2,Suburb,1,19,58.31
2371,3,3,Suburb,1,6,89.23
2402,3,3,City Center,0,37,76.66
1392,1,1,Suburb,1,6,57.27
1683,3,2,Downtown,0,29,60.04
1998,3,2,Rural,1,11,53.38
1626,1,1,Rural,1,30,32.51
2925,2,2,Downtown,1,17,122.68
2144,5,4,City Center,0,1,148.99
2314,3,2,Suburb,1,32,56.63
2264,3,3,Suburb,0,10,87.77
2621,4,4,Rural,0,33,59.79
1927,3,3,City Center,1,15,102.39
892,3,2,City Center,0,34,52.15
2080,4,4,City Center,1,32,90.44
1344,4,4,Suburb,1,20,58.43
1430,3,2,City Center,1,19,82.17
2210,3,2,Downtown,1,7,118.37
2667,2,1,Industrial Area,1,25,51.07
1815,5,4,City Center,1,32,89.51
2016,3,3,Industrial Area,1,25,61.44
2992,1,1,Suburb,1,36,70.72
1969,4,4,City Center,1,29,95.16
3621,3,2,Rural,1,30,69.73
2196,1,1,Suburb,0,32,54.65
567,3,2,Downtown,1,10,61.41
2327,3,2,Downtown,1,40,74.04
2067,4,3,Industrial Area,0,4,78.71
2703,2,2,Industrial Area,1,1,102.24
2271,4,4,Rural,1,12,66.96
1703,3,2,Rural,1,17,50.68
943,1,1,Downtown,1,25,54.77
1654,5,4,City Center,0,24,96.09
1205,3,3,Downtown,1,13,79.87
1394,2,1,Downtown,1,4,77.21
2212,3,3,Rural,1,1,81.2
2969,4,3,Industrial Area,1,3,117.49
2076,2,1,Rural,0,11,45.38
963,2,2,Rural,1,10,35.2
2111,2,2,Rural,0,3,65.76
2638,2,2,Downtown,0,8,120.99
1373,4,4,City Center,0,9,96.0
1706,3,3,Downtown,0,26,79.97
1810,2,1,Suburb,0,5,70.23
1251,2,2,Rural,1,14,35.75
2254,2,2,Rural,1,30,53.07
1715,5,5,Suburb,0,21,80.89
2094,2,2,Rural,0,5,68.51
1179,5,5,Rural,1,32,37.04
1494,3,2,Rural,1,28,36.18
2306,2,1,Suburb,0,20,62.22
1539,4,4,Downtown,1,29,75.68
3009,3,3,Rural,1,20,81.85
1520,3,2,City Center,0,35,62.67
1957,5,5,Suburb,1,21,93.08
2453,1,1,Industrial Area,1,19,51.58
807,1,1,Suburb,0,21,27.01
567,3,3,Downtown,1,39,38.88
732,2,1,Suburb,1,10,33.7
2684,2,1,Industrial Area,0,30,49.59
1414,1,1,City Center,0,39,36.27
3591,1,1,Industrial Area,0,12,94.93
1405,4,3,Suburb,1,17,56.93
1929,2,1,Industrial Area,0,21,58.47
2879,3,2,Suburb,1,16,102.04
3204,3,2,City Center,0,37,100.57
3243,3,3,City Center,1,24,139.72
2646,1,1,Downtown,1,31,88.87
2517,4,3,City Center,1,14,148.5
2215,1,1,Rural,1,12,51.5
2345,4,3,Industrial Area,1,25,63.04
1414,4,4,Industrial Area,1,10,61.41
1227,3,3,Suburb,1,12,56.26
1798,3,3,City Center,1,32,67.74
1681,3,3,Downtown,1,36,57.45
1483,2,2,Downtown,0,37,42.66
2287,4,4,Downtown,0,0,132.1
2469,4,4,Rural,1,38,52.81
1862,2,2,City Center,1,26,81.38
2834,3,3,Downtown,1,35,96.24
1001,4,4,Rural,0,31,25.26
1664,5,4,Industrial Area,0,40,47.24
1298,3,3,Suburb,1,14,61.18
493,3,3,City Center,0,30,33.45
1742,2,1,City Center,0,5,105.14
1715,5,4,Industrial Area,1,24,61.15
2859,2,1,City Center,1,17,126.38
2242,3,3,City Center,1,21,113.04
1083,2,2,City Center,1,30,46.79
3098,2,1,City Center,0,35,95.63
2655,3,3,Rural,1,8,93.51
2207,5,5,Rural,0,2,73.81
1641,1,1,Suburb,1,32,38.88
1128,3,2,City Center,1,26,61.65
1539,1,1,Industrial Area,0,0,48.87
2562,2,1,Downtown,1,8,117.8
3119,3,2,Suburb,1,4,134.42
2880,3,3,Downtown,1,14,131.07
1458,2,1,Downtown,1,8,80.07
1016,2,1,City Center,0,27,41.46
1899,1,1,Industrial Area,0,12,54.99
562,2,2,Downtown,0,23,37.85
2026,5,4,Downtown,0,9,119.17
1697,5,5,Suburb,0,21,68.67
1474,2,1,Industrial Area,1,38,31.02
684,3,3,Industrial Area,0,21,33.09
2160,4,4,Downtown,1,36,85.04
1427,1,1,Industrial Area,0,38,27.86
981,4,3,Suburb,0,19,46.86
400,5,5,Suburb,0,9,54.78
1781,1,1,Suburb,1,9,61.33
3041,2,2,City Center,1,25,120.7
2963,5,4,Downtown,1,24,139.87
1480,3,2,Industrial Area,1,27,43.14
1378,1,1,Suburb,1,12,54.82
2128,2,2,Downtown,1,14,93.63
1101,3,3,Downtown,0,5,79.27
2011,3,2,City Center,1,11,108.78
2336,3,2,Industrial Area,1,18,62.68
2659,5,5,Industrial Area,1,31,77.47
1730,2,1,Suburb,0,10,60.07
1657,3,3,Suburb,1,37,45.56
1185,3,3,Downtown,0,32,52.83
1221,3,3,Industrial Area,0,1,53.01
1641,2,2,Industrial Area,1,14,48.01
2057,5,5,Suburb,1,35,62.56
2440,4,4,Rural,1,4,80.27
1238,3,3,Downtown,1,14,82.35
2845,3,2,Industrial Area,0,9,95.98
1610,2,2,City Center,0,16,75.58
1785,3,3,City Center,1,33,79.28
1277,3,3,Rural,1,23,37.96
400,3,3,Suburb,1,9,46.5
2419,5,4,Suburb,0,29,90.83
2316,3,3,Suburb,1,2,108.52
1603,2,1,City Center,1,36,55.11
1847,4,3,Suburb,0,2,81.29
2161,2,2,City Center,1,39,75.02
706,2,2,Rural,1,4,31.5
1430,2,2,Downtown,1,27,51.36
2356,3,3,Industrial Area,1,13,78.63
922,4,3,Rural,0,38,37.54
2005,3,3,City Center,1,10,125.83
850,4,4,Rural,0,7,34.95
2127,3,3,Industrial Area,0,36,46.19
1775,2,2,Downtown,1,7,97.21
669,4,4,Industrial Area,1,11,47.02
2615,2,2,City Center,1,14,119.58
1286,2,2,Industrial Area,1,18,42.44
1233,3,3,Rural,1,27,37.78
1940,2,1,Suburb,0,6,71.06
2604,1,1,Rural,0,39,28.39
1089,3,3,City Center,1,6,85.88
1843,3,3,Downtown,0,29,76.42
2100,3,2,Industrial Area,0,17,58.68
2285,5,5,Downtown,1,23,110.19
1924,3,3,City Center,0,5,126.92
1543,4,4,Industrial Area,1,3,72.01
1221,2,1,Rural,1,2,44.45
1860,3,3,Rural,1,5,54.25
1050,4,3,City Center,1,25,62.56
400,3,2,Industrial Area,1,37,31.8
2106,3,2,Rural,0,10,71.11
2433,2,1,City Center,0,28,92.33
400,1,1,City Center,1,19,15.58
1093,3,3,Downtown,0,9,61.22
2233,2,1,Rural,0,25,38.58
3240,4,3,Industrial Area,1,26,75.77
1815,2,2,Rural,1,13,50.4
1290,5,4,Rural,1,35,42.17
1672,5,5,Rural,0,11,59.4
2762,2,2,City Center,1,22,117.79
1348,2,2,Suburb,1,20,48.54
1241,4,4,Suburb,0,7,72.47
1462,5,5,Downtown,0,38,67.94
1133,3,3,Rural,1,8,47.08
1886,2,2,Suburb,1,23,68.75
2937,3,3,Downtown,1,30,102.67
2026,3,3,City Center,0,24,103.75
1623,2,1,Rural,1,16,40.92
1596,3,3,Industrial Area,1,28,35.15
706,1,1,City Center,0,2,36.48
2418,1,1,Downtown,0,20,78.97
1746,2,2,City Center,0,7,92.94
1674,2,1,Industrial Area,1,13,60.38
4035,2,2,City Center,1,38,120.33
2009,3,2,Downtown,1,15,90.16
1274,2,2,Industrial Area,1,17,34.8
1502,2,2,Industrial Area,1,30,38.86
2604,2,2,City Center,1,10,145.54
1879,5,5,Industrial Area,0,37,50.18
793,3,3,City Center,0,19,61.1
2443,3,3,Rural,1,3,83.91
1332,3,3,Industrial Area,0,19,36.09
3111,5,5,City Center,1,30,139.98
2556,2,1,Rural,0,19,51.09
1487,3,3,Industrial Area,0,10,53.01
2697,3,3,Rural,1,0,86.71
1847,3,3,Industrial Area,1,17,61.42
2397,1,1,Downtown,1,38,64.74
2139,3,3,Downtown,1,32,77.51
1208,1,1,City Center,0,35,38.5
1350,3,2,Suburb,0,17,54.01
2521,3,3,Downtown,1,30,91.8
1566,2,2,Suburb,0,34,39.44
1517,4,4,Rural,0,38,46.51
1131,1,1,Rural,1,37,27.9
2097,4,4,Suburb,0,14,81.84
3244,3,3,City Center,1,5,185.78
1053,2,2,Industrial Area,1,7,44.44
1817,2,1,Suburb,1,39,43.88
2789,5,5,Suburb,1,21,103.35
1744,1,1,Suburb,0,0,67.0
2117,2,1,Suburb,1,12,74.66
1056,2,2,Suburb,0,23,33.4
2100,3,2,City Center,0,20,96.51
1669,3,3,Downtown,1,3,94.88
2490,2,1,Industrial Area,0,6,80.74
2631,2,1,Downtown,1,11,121.47
3613,2,2,Suburb,1,12,133.96
2206,2,1,Downtown,1,15,89.79
2028,3,3,City Center,1,5,127.86
1936,3,2,Rural,0,13,62.0
1553,2,2,Downtown,1,30,62.37
2037,2,1,Industrial Area,0,35,50.08
1593,2,2,City Center,1,36,69.33
1918,5,4,Rural,0,40,27.61
2722,5,5,City Center,0,34,112.19
1095,4,3,Suburb,1,9,64.37
2598,2,1,Rural,1,16,64.59
2722,1,1,Industrial Area,1,29,55.84
1717,2,1,Rural,1,6,62.78
400,2,1,Industrial Area,1,17,21.19
1375,3,3,Suburb,1,18,40.04
2708,4,4,Industrial Area,1,14,88.44
1784,4,4,City Center,0,38,84.27
1100,4,4,Downtown,1,21,64.19
1447,2,2,City Center,1,38,62.01
2388,3,3,City Center,0,29,102.99
2183,2,2,Rural,0,19,50.87
1633,1,1,Suburb,0,31,40.54
1543,3,3,Downtown,1,24,73.48
1526,1,1,Industrial Area,1,22,37.46
1154,3,2,Rural,0,4,38.96
2931,2,2,Suburb,1,40,74.24
1574,3,2,Downtown,1,29,64.86
2652,4,3,City Center,0,38,87.66
2865,2,1,Suburb,0,26,78.19
2499,4,4,Suburb,0,36,68.14
1498,2,2,Suburb,1,6,57.24
2083,3,2,City Center,1,4,126.31
1783,3,2,Industrial Area,1,14,50.88
1167,3,2,Rural,1,7,60.62
2027,5,4,Industrial Area,1,8,82.73
975,2,2,Downtown,0,10,50.82
2631,3,3,Rural,1,21,63.84
1475,3,3,Downtown,0,33,52.31
1941,4,4,City Center,1,34,85.14
1998,2,1,Industrial Area,0,12,65.91
1619,4,4,Suburb,1,10,80.79
2211,3,3,Rural,0,31,38.52
1468,2,1,Suburb,1,14,49.0
2410,3,3,Downtown,0,37,75.82
858,2,1,Suburb,1,0,41.68
1888,3,2,Suburb,0,23,59.61
3157,4,4,City Center,1,39,128.09
1100,3,3,City Center,1,21,64.32
1326,3,3,Industrial Area,0,2,48.36
2160,3,3,Downtown,1,13,105.65
1926,1,1,City Center,1,1,99.07
2045,2,2,City Center,1,31,88.2
2142,3,2,Industrial Area,1,37,39.6
2244,2,2,Rural,0,32,36.94
2577,2,1,Industrial Area,1,5,76.15
2087,3,3,Suburb,0,40,41.41
1631,2,2,Suburb,0,38,38.47
2271,2,1,City Center,1,24,91.26
3130,3,3,City Center,1,33,104.83
1707,2,2,Industrial Area,0,10,52.91
1118,4,3,Industrial Area,0,36,34.29
2575,4,3,Downtown,1,40,82.29
1716,3,2,Suburb,0,6,76.1
400,2,2,Industrial Area,1,21,32.27
2393,4,4,Rural,1,38,53.98
1425,4,3,Downtown,0,9,88.72
1737,4,3,Industrial Area,1,20,64.78
2032,2,2,City Center,1,5,133.25
1933,3,2,Industrial Area,1,0,69.07
2297,4,4,City Center,1,33,102.1
1495,3,3,City Center,1,13,89.4
2159,3,3,Suburb,1,35,60.27
1618,3,3,Suburb,1,26,49.34
2317,3,3,Industrial Area,0,8,83.16
2231,1,1,Industrial Area,1,5,72.65
1145,3,3,Rural,1,30,41.84
2560,1,1,Downtown,1,16,101.37
1425,3,2,Downtown,0,35,49.15
2366,2,1,Industrial Area,1,20,61.66
2057,3,2,Suburb,0,26,76.4
3087,2,2,Rural,1,40,56.07
1644,3,3,Downtown,1,27,81.17
1555,4,3,Industrial Area,1,15,64.69
1786,2,2,Suburb,1,34,53.25
1588,2,2,Suburb,1,35,34.28
2360,2,2,Suburb,0,34,52.91
669,4,3,City Center,1,18,59.08
1062,3,3,Suburb,0,20,45.43
1053,3,2,Industrial Area,1,32,31.64
2465,2,2,Rural,0,22,45.63
2997,3,2,Industrial Area,1,5,102.12
1727,4,3,Suburb,1,31,45.47
1682,4,3,Rural,1,21,56.02
1849,3,3,Downtown,1,2,114.82
2613,1,1,Downtown,1,34,84.29
1151,2,1,Industrial Area,0,15,37.32
1967,1,1,Rural,1,24,40.2
2483,2,2,Industrial Area,1,16,62.87
2151,2,2,Rural,0,38,34.52
1933,2,1,Rural,0,12,45.85
2501,2,2,Industrial Area,0,27,60.05
400,5,4,Rural,0,10,30.77
2275,3,3,Suburb,1,9,97.57
1342,4,4,Rural,0,38,40.22
519,3,2,Rural,1,23,15.33
2158,2,2,Industrial Area,0,37,42.05
2762,3,3,Downtown,0,23,108.09
1704,2,1,City Center,1,32,67.98
2467,3,2,Rural,1,16,70.99
2929,2,2,City Center,0,35,104.12
2720,5,4,Rural,1,34,53.27
2948,2,1,Industrial Area,0,5,80.53
2319,2,1,Industrial Area,0,15,64.75
1853,5,5,Rural,0,27,55.04
679,1,1,Industrial Area,1,40,21.26
1628,3,2,Industrial Area,1,31,38.73
1210,3,2,Rural,1,25,25.94
3320,4,4,Downtown,1,10,175.11
1677,5,5,Rural,1,24,57.85
1886,5,5,Downtown,1,30,86.59
2186,1,1,Industrial Area,1,20,43.52
1831,4,4,Downtown,0,2,112.71
2987,3,3,Industrial Area,0,11,96.42
1364,3,2,Downtown,1,39,53.21
1936,2,2,Downtown,1,40,52.58
1280,3,2,Rural,1,24,41.0
876,5,5,Downtown,1,16,76.41
1372,4,4,Industrial Area,1,37,47.09
1774,3,3,Rural,1,35,34.91
1499,1,1,Downtown,0,35,39.73
1315,2,1,Rural,1,18,37.75
816,4,3,City Center,1,1,83.62
1742,3,3,Rural,1,16,48.57
747,3,3,City Center,1,29,61.32
2332,1,1,City Center,0,9,118.41
1858,3,2,Rural,1,34,34.0
780,3,2,Industrial Area,1,35,27.14
1584,4,4,Industrial Area,1,32,38.31
1273,3,2,Industrial Area,1,0,68.92
2023,2,1,Suburb,0,17,68.7
2738,3,3,City Center,0,3,165.25
487,1,1,Rural,0,26,11.2
1881,5,4,Industrial Area,1,24,70.93
1688,2,1,Industrial Area,1,27,50.27
2270,3,3,Rural,1,21,58.94
1949,2,2,City Center,0,24,75.74
1274,3,3,Rural,0,16,43.51
1577,3,3,Suburb,1,11,70.3
1243,3,2,Suburb,1,15,66.46
2553,2,2,Rural,1,36,46.51
1815,2,1,City Center,1,15,92.99
3131,2,1,Industrial Area,1,16,90.06
1758,3,3,Suburb,0,30,52.94
1304,1,1,Suburb,1,14,51.54
740,3,3,City Center,0,12,56.06
538,4,3,Suburb,1,39,21.71
691,4,4,Suburb,1,26,35.78
1987,3,2,City Center,1,20,98.39
2156,3,2,Rural,0,1,70.66
693,1,1,Industrial Area,0,7,27.46
2427,3,2,Industrial Area,1,6,88.06
1462,4,3,Suburb,0,9,69.17
1903,2,2,Industrial Area,0,3,59.43
2929,3,3,Rural,1,40,57.53
2428,4,3,Suburb,1,35,57.8
1612,4,3,Industrial Area,1,34,37.53
1176,2,2,Downtown,0,2,69.62
400,3,3,Downtown,1,17,48.09
1297,2,2,Downtown,0,23,58.99
1652,2,1,Downtown,1,31,58.63
1109,4,4,Downtown,1,33,60.14
1708,4,4,Suburb,1,1,86.62
1854,4,3,City Center,1,1,131.98
1643,1,1,City Center,0,9,77.1
1345,4,3,Suburb,0,22,48.28
1918,3,3,Suburb,1,14,75.49
2109,2,1,Rural,0,11,53.94
1037,3,3,City Center,1,16,70.78
2788,1,1,Downtown,0,17,102.39
1731,4,3,Suburb,1,13,60.28
1813,3,3,Downtown,1,16,95.6
2296,2,2,City Center,0,14,107.98
1963,2,2,Industrial Area,1,11,62.26
2467,2,2,Industrial Area,0,15,61.0
2001,1,1,Suburb,0,31,56.47
1371,3,2,Rural,1,22,49.85
2053,4,4,Downtown,1,37,65.57
999,1,1,Suburb,1,33,26.79
1876,1,1,Rural,1,33,40.61
1777,3,2,Downtown,0,15,82.38
1654,4,4,City Center,1,33,76.03
1710,2,2,Industrial Area,1,39,32.96
483,2,2,Rural,0,6,24.49
1416,3,3,Downtown,1,32,76.24
1865,2,2,Suburb,1,3,85.62
1912,1,1,Downtown,0,6,79.4
1081,3,3,Suburb,0,17,43.94
2686,3,2,Industrial Area,0,3,89.88
1194,3,3,Industrial Area,1,10,46.89
2479,3,3,Downtown,1,19,105.06
2099,3,3,Downtown,0,10,111.03
1348,2,2,Suburb,0,14,47.77
3043,2,2,Suburb,1,16,101.81
964,2,2,Rural,1,33,35.26
2443,2,2,Rural,1,11,65.03
2500,3,3,Rural,1,27,59.78
1331,4,4,Downtown,1,34,55.87
2775,5,5,Rural,1,7,98.71
1625,3,2,Downtown,1,26,78.85
2002,2,2,Industrial Area,1,21,64.08
1982,2,2,City Center,0,23,85.42
1706,4,4,Industrial Area,0,1,72.11
2368,3,3,Downtown,1,30,90.65
2355,3,3,Downtown,0,21,99.13
576,4,4,City Center,0,0,75.41
2713,3,2,Suburb,1,13,94.84
636,4,4,Suburb,0,24,35.24
2523,1,1,Suburb,0,35,52.43
2589,3,2,Rural,1,35,53.81
1036,4,3,Suburb,1,40,42.42
1512,2,2,Rural,0,2,46.9
1026,3,3,Rural,1,4,39.04
1650,2,2,Suburb,0,0,73.37
1584,5,5,Suburb,1,18,81.1
2346,1,1,City Center,0,32,75.49
2717,3,3,City Center,1,29,107.64
2777,2,1,Rural,0,11,67.17
1406,3,3,City Center,0,9,100.14
1654,2,2,Rural,0,33,34.15
622,2,2,Downtown,1,15,50.25
1236,3,2,Rural,1,39,23.36
2475,4,4,Rural,0,28,65.27
2931,2,1,City Center,1,14,143.64
936,2,2,Downtown,0,10,52.79
1385,4,4,Industrial Area,1,33,46.77
1782,3,3,Industrial Area,0,35,49.28
1996,4,4,Industrial Area,1,29,51.37
1233,2,2,Downtown,1,34,44.36
2097,3,3,Suburb,1,8,92.94
1468,2,2,Downtown,0,17,66.72
1790,2,1,City Center,0,18,83.94
2182,3,3,Rural,1,38,46.95
1804,3,3,Rural,0,3,64.86
1495,4,4,City Center,1,5,115.29
1723,2,1,City Center,0,32,60.93
1738,3,2,Rural,0,31,47.07
1541,3,3,Suburb,0,15,62.35
1619,5,5,Suburb,1,10,95.27
2919,2,2,Suburb,1,21,97.62
2193,2,1,City Center,1,35,71.16
1593,2,1,Rural,0,22,41.49
2288,3,3,Rural,1,25,49.92
1566,2,2,Rural,1,30,45.6
2621,4,4,Downtown,1,28,107.69
2059,2,2,Downtown,0,4,104.8
1725,4,3,Industrial Area,1,37,38.44
2113,2,2,Downtown,1,24,80.58
700,3,3,Suburb,1,33,33.0
1011,4,3,Suburb,0,11,54.64
964,2,1,Suburb,0,21,31.34
1900,5,5,Suburb,0,8,98.58
3013,3,2,Industrial Area,1,19,84.0
3362,5,5,Suburb,0,28,95.09
2247,3,2,City Center,1,28,100.34
2151,2,1,City Center,1,26,81.62
539,2,2,City Center,1,16,33.6
1420,2,1,Downtown,1,4,80.82
1249,1,1,Rural,1,12,29.75
1365,2,2,Industrial Area,1,14,48.75
1682,2,2,City Center,1,14,97.03
1470,3,2,City Center,1,17,91.33
414,4,4,Suburb,1,1,53.04
2324,2,2,City Center,0,22,90.71
1049,2,1,Suburb,1,12,41.13
1967,3,2,Suburb,0,3,83.48
3252,2,2,Rural,0,24,67.91
1156,1,1,Downtown,0,10,47.21
400,2,2,Suburb,0,11,22.56
1600,4,4,Suburb,1,12,82.34
2571,4,4,Rural,1,8,87.83
3171,2,1,Suburb,1,37,67.31
939,3,3,Industrial Area,1,5,54.86
2148,3,3,Downtown,0,9,101.91
1474,3,3,Industrial Area,0,22,51.08
1726,3,2,City Center,1,14,103.61
3651,3,3,Downtown,1,22,147.89
748,2,2,City Center,0,39,33.9
1978,1,1,Suburb,1,36,41.29
2127,3,3,Rural,1,33,49.73
2560,4,4,Industrial Area,1,15,83.79
1869,3,3,City Center,1,40,73.26
2016,4,4,Suburb,1,31,61.25
1526,5,5,Industrial Area,1,37,43.63
1988,2,2,Industrial Area,1,39,40.53
1560,3,3,City Center,0,4,105.81
2235,3,3,Suburb,1,16,87.41
1541,5,5,Rural,1,21,65.11
2064,5,5,City Center,0,38,86.32
1780,3,3,Industrial Area,0,40,33.65
2588,2,1,Industrial Area,1,17,76.31
1764,4,4,Downtown,1,27,85.48
559,2,2,Suburb,1,12,32.91
2683,4,4,Downtown,0,0,154.0
1166,4,3,Rural,1,18,39.76
1342,2,1,City Center,1,33,50.4
1383,3,3,Industrial Area,0,3,50.59
2762,3,3,Suburb,1,2,124.55
400,3,3,Industrial Area,0,40,20.08
3996,2,2,Downtown,0,9,172.6
2539,4,4,Downtown,1,27,102.36
1956,5,4,City Center,1,33,99.03
1762,5,5,Suburb,0,38,45.69
2000,2,1,Suburb,1,18,65.89
2165,4,4,City Center,0,35,92.27
2252,3,2,Downtown,0,2,108.69
2189,2,1,Downtown,1,22,87.55
1863,1,1,Downtown,1,16,74.7
1662,2,2,Industrial Area,0,6,57.67
1694,4,4,Rural,1,25,47.71
1664,3,3,Downtown,0,17,84.96
2594,3,3,Rural,1,5,90.5
2215,2,2,Rural,1,30,61.61
400,3,3,Suburb,1,28,27.42
2259,1,1,City Center,0,8,112.62
1936,2,2,Industrial Area,1,34,45.72
1787,3,2,Rural,1,16,55.3
1528,2,2,Industrial Area,1,11,62.68
2587,4,3,Suburb,1,35,65.8
2463,2,2,Downtown,1,23,94.43
1259,3,3,Rural,1,9,47.32
2085,3,2,City Center,1,29,83.3
1120,3,3,Suburb,1,28,44.15
834,2,1,Industrial Area,1,38,25.57
1361,1,1,Downtown,1,9,72.47
2404,4,4,Industrial Area,1,38,54.3
2467,2,2,City Center,1,27,107.18
2159,4,3,Rural,1,17,51.93
2308,5,5,City Center,0,40,105.82
2161,2,1,Industrial Area,1,16,66.05
1351,2,1,Industrial Area,1,10,45.12
2102,3,3,City Center,0,0,137.42
2360,5,5,City Center,0,16,136.06
2328,4,3,City Center,1,35,80.12
2632,3,3,Downtown,1,35,87.76
2296,4,4,Industrial Area,0,8,89.65
2046,2,2,Suburb,1,27,66.45
2549,5,5,Downtown,1,32,104.69
1781,5,5,Downtown,1,2,136.84
1183,2,2,Downtown,0,7,67.97
1686,2,1,Suburb,1,5,71.37
1279,2,2,City Center,1,5,81.77
1327,2,2,Industrial Area,0,28,32.26
1699,4,3,Rural,0,36,35.44
1245,2,1,Rural,1,11,41.18
1584,1,1,Industrial Area,1,8,56.23
474,2,2,Suburb,0,40,13.74
1949,5,4,Rural,1,18,55.54
1801,3,3,Downtown,1,16,101.5
1228,3,3,Rural,1,31,27.75
2261,2,2,Industrial Area,1,34,52.15
2456,5,5,Downtown,1,13,139.49
675,4,3,Rural,1,15,33.1
1266,2,2,Industrial Area,0,20,41.61
1262,1,1,Suburb,0,11,36.4
1142,1,1,Industrial Area,1,23,41.74
2381,2,2,Suburb,0,33,73.64
1664,3,3,Downtown,1,7,107.24
1615,4,4,Industrial Area,0,20,51.01
400,3,3,City Center,0,7,34.55
2245,4,4,City Center,1,27,111.2
933,3,2,City Center,1,15,59.1
1842,3,3,City Center,1,9,113.18
1994,3,3,City Center,0,14,116.85
2752,2,1,Suburb,0,3,111.03
884,2,2,Industrial Area,1,25,40.81
400,3,2,Downtown,1,14,42.49
1929,1,1,City Center,1,35,69.96
3060,2,2,City Center,0,31,94.42
2667,3,3,Downtown,1,37,75.71
1947,5,5,Downtown,1,3,134.66
1456,3,3,City Center,1,40,66.17
2365,4,3,Suburb,1,8,99.65
1119,3,3,Downtown,1,34,55.41
2133,4,3,Industrial Area,1,27,54.07
2154,3,3,Industrial Area,1,36,49.91
2542,4,4,Suburb,1,8,113.73
3732,3,3,Rural,0,1,116.72
2075,3,2,Suburb,0,2,85.32
1444,3,3,City Center,1,4,105.43
1782,3,3,Rural,0,9,47.5
562,2,1,City Center,0,27,29.77
1314,1,1,Industrial Area,1,14,47.34
1514,1,1,Downtown,1,13,67.87
1433,4,4,City Center,1,22,84.78
1907,2,1,Industrial Area,1,12,64.8
1224,2,1,Suburb,1,15,62.07
2585,3,2,City Center,1,29,117.9
1800,2,2,Industrial Area,1,39,39.98
1793,3,3,Downtown,0,7,103.4
1570,2,1,City Center,0,16,85.27
1909,5,5,Industrial Area,1,29,62.23
2378,4,4,City Center,0,16,131.36
1193,4,3,Downtown,0,34,50.15
1339,3,3,City Center,0,0,112.23
1587,4,4,City Center,1,23,97.47
858,2,2,Industrial Area,1,24,28.81
1227,1,1,Rural,1,1,37.46
1467,1,1,City Center,0,24,47.0
2412,3,2,Rural,1,13,59.17
1984,3,3,Suburb,0,38,45.3
1936,3,2,City Center,1,32,85.45
2396,1,1,Rural,1,16,59.6
1704,3,2,Suburb,1,30,45.58
2073,3,3,Industrial Area,1,9,69.77
1728,3,2,City Center,1,5,114.2
1986,3,3,Industrial Area,1,38,55.11
1392,2,2,Suburb,1,24,41.64
400,4,3,Industrial Area,1,37,25.17
1706,3,3,Industrial Area,1,36,39.29
2796,2,1,Downtown,1,29,91.22
2448,2,2,Suburb,1,33,55.32
2476,3,2,Industrial Area,1,17,78.07
2665,4,4,Rural,0,23,63.85
1862,3,2,Suburb,1,26,58.63
1938,2,2,Downtown,1,26,82.08
1368,4,4,City Center,1,38,71.21
1579,3,3,Industrial Area,0,20,45.57
2231,3,3,Rural,1,18,63.81
2643,3,3,Downtown,1,38,88.65
1702,2,2,Suburb,1,22,56.45
1485,3,3,Industrial Area,1,38,41.16
1800,2,2,Downtown,1,14,85.25
2221,5,5,Downtown,1,1,149.41
789,3,2,Rural,0,34,15.6
400,3,2,City Center,1,19,53.47
1415,3,2,City Center,0,27,62.78
946,4,3,City Center,1,14,72.91
1444,4,4,Suburb,1,15,63.65
1697,3,3,Downtown,1,32,68.54
1483,3,3,Suburb,1,11,62.21
2817,3,2,Downtown,1,38,80.85
2029,3,2,Rural,1,38,44.14
2010,2,2,Rural,1,19,54.77
2236,3,3,Suburb,1,28,60.99
1003,2,2,Suburb,1,2,57.74
2527,4,4,Rural,0,4,84.63
1747,2,2,Industrial Area,1,1,74.32
2269,5,5,City Center,1,22,135.59
1050,3,2,City Center,0,25,46.1
712,3,3,Rural,1,25,32.75
2373,3,2,City Center,1,6,149.62
2063,2,1,Industrial Area,1,9,67.9
1169,2,1,Industrial Area,1,4,50.75
1191,1,1,Downtown,1,11,60.66
2588,3,2,Suburb,1,31,76.64
967,3,2,City Center,1,30,55.53
